HumanAnti	 AntiTextRank	 TextRankHuman
0.143222583981 0.339701465763 0.38140160291
0.192369515249 0.376468735924 0.385432597437
0.222250726213 0.40573502407 0.412177709697
0.24266732923 0.428205490823 0.412685401786
0.259365520197 0.449932335191 0.41272109172
0.273570764449 0.463641254818 0.408921324239
0.285708134747 0.470934067555 0.411270432114
0.295691166725 0.481297385608 0.423556914295
0.304840192493 0.48789318176 0.426402933544
0.313386533953 0.49631510644 0.433505723194
0.321260485412 0.495547580195 0.431377497276
0.328551256238 0.497234551767 0.437070620465
0.335494790705 0.502083906123 0.442766042822
0.342223717061 0.512368124944 0.442759577098
0.348609588621 0.518691398539 0.442081087884
0.354758053743 0.525442909404 0.442343769733
0.360711297844 0.528813943531 0.443523700773
0.366377418253 0.537780116583 0.445552196843
0.371943570272 0.541152103728 0.447432944877
0.377501053691 0.542985597507 0.448874940177
0.383198282427 0.54511127153 0.453960674754
0.388507451408 0.546039189159 0.457307907261
0.393608323339 0.549746625098 0.460630010585
0.398761073939 0.552348336862 0.462371533665
0.403778069513 0.55825709402 0.463662635593
0.408721842857 0.562909110079 0.466259321554
0.413501240076 0.562478514598 0.46960129757
0.418158199498 0.568489850526 0.470897231439
0.422795459322 0.571799505381 0.471000384937
0.427341694955 0.576345552395 0.473341677879
0.431778104838 0.579288733684 0.476214403809
0.436086935926 0.584466411013 0.478787329582
0.440436253474 0.589390405541 0.481269059603
0.444673460658 0.592331472015 0.483234258912
0.448928097062 0.595861762397 0.485623954053
0.453124538811 0.597572784369 0.486856621996
0.457335204947 0.599981228902 0.488373348082
0.461523221906 0.602738240525 0.490651026566
0.465752199547 0.605456371903 0.49360050709
0.469972030922 0.607973181039 0.495934736837
0.474172312054 0.609067906062 0.498285038307
0.478449100859 0.611177226787 0.499777719193
0.482779880352 0.614407614442 0.502673841231
0.487165564376 0.615981862082 0.505422324845
0.491561417617 0.617589380575 0.50885934822
0.495999148724 0.620132223609 0.511863968681
0.500671737818 0.622683334098 0.514285826708
0.505706845413 0.624625679916 0.516121943494
0.511286377046 0.625911180433 0.519570504089
0.51755615152 0.628735099449 0.524389625404
