( P /\ T, N /\ T, P /\ N, SummaryLen, #sentences)
( 7,4,4,9.0,19 )
( 2,3,1,5.0,11 )
( 2,1,2,3.0,6 )
( 5,3,4,6.0,12 )
( 2,2,2,5.0,11 )
( 2,2,2,5.0,11 )
( 8,7,5,12.0,24 )
( 3,2,3,5.0,10 )
( 3,5,2,8.0,17 )
( 4,4,3,8.0,17 )
( 5,5,3,8.0,17 )
( 7,8,4,14.0,29 )
( 8,6,4,11.0,22 )
( 3,2,2,4.0,8 )
( 6,6,4,11.0,22 )
( 7,5,5,11.0,22 )
( 8,9,7,14.0,28 )
( 5,6,3,8.0,16 )
( 2,1,0,4.0,9 )
( 1,2,2,3.0,7 )
( 7,7,7,10.0,20 )
( 2,2,1,5.0,10 )
( 4,3,2,6.0,12 )
( 2,2,2,5.0,10 )
( 4,3,3,8.0,17 )
( 4,4,4,8.0,17 )
( 7,8,5,13.0,26 )
( 7,7,4,10.0,20 )
( 1,2,2,5.0,10 )
( 1,0,1,2.0,4 )
( 3,2,2,5.0,11 )
( 5,5,3,10.0,21 )
( 4,3,7,11.0,22 )
( 6,7,6,11.0,22 )
( 6,8,3,14.0,29 )
( 6,3,5,8.0,16 )
( 3,7,2,11.0,23 )
( 0,0,0,1.0,3 )
( 4,5,3,7.0,14 )
( 5,8,5,10.0,20 )
( 1,2,1,2.0,5 )
( 2,2,0,4.0,8 )
( 6,10,6,13.0,26 )
( 3,5,3,7.0,15 )
( 4,6,4,8.0,16 )
( 3,3,3,8.0,17 )
( 2,4,4,9.0,19 )
( 6,9,5,13.0,26 )
( 3,3,3,4.0,8 )
( 5,7,3,10.0,20 )
( 2,3,3,5.0,11 )
( 4,5,4,11.0,23 )
( 4,3,3,9.0,19 )
( 4,5,4,5.0,10 )
( 2,2,2,4.0,8 )
( 4,3,3,7.0,14 )
( 4,3,3,7.0,14 )
( 7,5,5,12.0,24 )
( 4,5,2,8.0,16 )
( 4,5,3,9.0,19 )
( 3,6,4,10.0,21 )
( 3,2,2,6.0,13 )
( 1,1,1,1.0,3 )
( 1,1,1,1.0,3 )
( 4,6,5,9.0,18 )
( 3,3,3,9.0,19 )
( 3,6,2,8.0,17 )
( 5,5,4,11.0,22 )
( 5,5,4,11.0,22 )
( 5,4,4,9.0,18 )
( 8,6,7,14.0,28 )
( 2,1,1,2.0,4 )
( 2,1,1,2.0,4 )
( 4,8,4,14.0,28 )
( 5,6,6,14.0,29 )
